zip,donations,total,NAME,variable,estimate,moe,donations_per_1000
21643,129,3421.1600000000003,ZCTA5 21643,population,5021,515,25.6920932085242
21644,21,1489.06,ZCTA5 21644,population,40,55,525
21645,799,16686.719999999976,ZCTA5 21645,population,1231,367,649.0658001624695
21647,2,1046.02,ZCTA5 21647,population,450,187,4.444444444444445
21648,6,292.18000000000006,ZCTA5 21648,population,181,89,33.14917127071823
21649,11,251.31,ZCTA5 21649,population,2205,525,4.988662131519274
21650,36,743.2800000000001,ZCTA5 21650,population,308,172,116.88311688311688
21651,114,4187.79,ZCTA5 21651,population,2346,447,48.59335038363171
21652,6,186.33,ZCTA5 21652,population,143,85,41.95804195804196
21653,5,115.48,ZCTA5 21653,population,105,64,47.61904761904761
21654,475,35940.680000000015,ZCTA5 21654,population,1260,263,376.984126984127
21655,911,15795.929999999988,ZCTA5 21655,population,4753,454,191.6684199452977
21657,81,4380.89,ZCTA5 21657,population,1437,388,56.36743215031315
21658,1085,46045.019999999975,ZCTA5 21658,population,3883,420,279.4231264486222
21659,3060,58483.720000000016,ZCTA5 21659,population,1225,346,2497.9591836734694
21660,318,8391.409999999993,ZCTA5 21660,population,4100,346,77.5609756097561
21661,1483,30077.569999999967,ZCTA5 21661,population,2571,314,576.8183586153248
21662,168,15801.980000000009,ZCTA5 21662,population,657,188,255.70776255707761
21663,1221,42010.009999999944,ZCTA5 21663,population,3646,492,334.88754799780577
21664,12,606.3299999999999,ZCTA5 21664,population,642,229,18.69158878504673
21665,55,6186.34,ZCTA5 21665,population,164,86,335.3658536585366
21666,2612,85565.16000000027,ZCTA5 21666,population,14193,955,184.03438314662156
21667,5,207,ZCTA5 21667,population,218,97,22.93577981651376
21668,399,6508.429999999995,ZCTA5 21668,population,1842,339,216.6123778501629
21669,15,1276.6999999999998,ZCTA5 21669,population,186,64,80.64516129032258
21671,57,2785.99,ZCTA5 21671,population,805,219,70.80745341614906
21672,2,46.05,ZCTA5 21672,population,113,86,17.699115044247787
21673,188,8611.570000000002,ZCTA5 21673,population,2793,352,67.31113498030791
21675,1,25,ZCTA5 21675,population,46,29,21.73913043478261
21676,21,710.0500000000001,ZCTA5 21676,population,333,181,63.063063063063055
21677,128,1134.9900000000007,ZCTA5 21677,population,598,195,214.04682274247492
21678,43,1922.5899999999997,ZCTA5 21678,population,1685,317,25.519287833827892
21679,81,2694.7099999999996,ZCTA5 21679,population,255,124,317.6470588235294
21701,6057,114826.3500000018,ZCTA5 21701,population,40787,1700,148.50319954887587
21702,5174,126991.27000000182,ZCTA5 21702,population,46596,1984,111.03957421237874
21703,2098,67041.95000000004,ZCTA5 21703,population,39606,1671,52.97177195374438
21704,1240,58343.60999999997,ZCTA5 21704,population,18473,1181,67.1249932333676
21705,33,1493.22,ZCTA5 21705,population,5,8,6600
21710,301,13761.380000000008,ZCTA5 21710,population,4988,719,60.3448275862069
21711,27,898.0700000000002,ZCTA5 21711,population,864,249,31.25
21713,1288,40229.73999999996,ZCTA5 21713,population,9999,740,128.8128812881288
21714,12,290.82000000000005,ZCTA5 21714,population,272,174,44.11764705882353
21715,22,502.48,ZCTA5 21715,population,12,22,1833.3333333333333
21716,540,16379.819999999992,ZCTA5 21716,population,6630,344,81.44796380090499
21717,54,1939.79,ZCTA5 21717,population,209,158,258.3732057416268
21718,6,494.52,ZCTA5 21718,population,143,42,41.95804195804196
