zip,donations,total,NAME,variable,estimate,moe,donations_per_1000
20905,12733,509001.05000000366,ZCTA5 20905,population,17451,1768,729.6430004011232
20906,54095,1138991.140000007,ZCTA5 20906,population,71560,2542,755.9390721073224
20910,60712,2979373.470000009,ZCTA5 20910,population,45072,1708,1347.0003549875755
20912,38778,1936275.090000004,ZCTA5 20912,population,25823,1428,1501.6845447856563
21001,9185,126335.17999999996,ZCTA5 21001,population,25908,1040,354.5236992434769
21005,1513,7449.8,ZCTA5 21005,population,2703,540,559.7484276729559
21009,5538,94785.23000000004,ZCTA5 21009,population,32565,2153,170.05988023952096
21010,1196,18019.26,ZCTA5 21010,population,216,265,5537.037037037037
21012,11344,448162.7999999995,ZCTA5 21012,population,23144,1689,490.14863463532663
21013,1809,42460.45999999997,ZCTA5 21013,population,5382,1023,336.12040133779266
21014,9571,216782.57000000024,ZCTA5 21014,population,37097,1207,257.99929913470095
21015,7969,198034.8099999996,ZCTA5 21015,population,30485,1828,261.407249466951
21017,1139,18434.4,ZCTA5 21017,population,6177,657,184.39371863364093
21023,188,7414.900000000003,ZCTA5 21023,population,68,62,2764.705882352941
21028,777,21243.45,ZCTA5 21028,population,2974,395,261.2642905178211
21029,5070,334097.21000000037,ZCTA5 21029,population,13817,1531,366.93927770138237
21030,9939,375350.1199999992,ZCTA5 21030,population,25133,1745,395.4561731587952
21031,10,589.24,ZCTA5 21031,population,26,42,384.61538461538464
21032,5033,231805.08,ZCTA5 21032,population,8040,1015,625.9950248756219
21034,608,23530.29,ZCTA5 21034,population,2958,452,205.54428668018932
21035,6200,200449.85000000024,ZCTA5 21035,population,8360,859,741.6267942583731
21036,1189,69995.87,ZCTA5 21036,population,2145,385,554.3123543123543
21037,9471,376584.1499999987,ZCTA5 21037,population,21060,1490,449.7150997150997
21040,2305,33320.56,ZCTA5 21040,population,25110,1503,91.79609717244126
21042,28455,1050627.5999999992,ZCTA5 21042,population,42528,1902,669.0886004514672
21043,20844,686790.2499999983,ZCTA5 21043,population,47309,2147,440.5926990636031
21044,44569,1337506.6200000034,ZCTA5 21044,population,45100,2073,988.2261640798226
21045,30660,803755.2300000013,ZCTA5 21045,population,40980,1625,748.1698389458272
21046,11234,309389.19999999896,ZCTA5 21046,population,15894,943,706.8076003523342
21047,2633,69101.56999999999,ZCTA5 21047,population,13419,1285,196.21432297488636
21048,2073,66157.87999999996,ZCTA5 21048,population,9759,1013,212.41930525668616
21050,3563,70752.11000000012,ZCTA5 21050,population,18076,1132,197.11219296304492
21051,461,25766.14,ZCTA5 21051,population,113,95,4079.6460176991154
21052,16,551,ZCTA5 21052,population,438,259,36.5296803652968
21053,776,14091.339999999998,ZCTA5 21053,population,3051,680,254.34283841363487
21054,5833,159548.24000000028,ZCTA5 21054,population,15687,2248,371.83655255944416
21056,98,38413,ZCTA5 21056,population,318,225,308.1761006289308
21057,2464,65720.03000000001,ZCTA5 21057,population,4530,760,543.9293598233995
21060,14209,173872.13999999993,ZCTA5 21060,population,38418,1871,369.85267322609195
21061,10219,168692.45000000004,ZCTA5 21061,population,55172,2745,185.22076415573116
21071,287,8471.130000000001,ZCTA5 21071,population,526,276,545.6273764258555
21074,2983,55540.70000000002,ZCTA5 21074,population,15146,1206,196.9496896870461
21075,8984,224807.7100000003,ZCTA5 21075,population,36176,2498,248.34144183989383
21076,6352,235382.90000000017,ZCTA5 21076,population,22041,1730,288.1901910076675
21077,85,1464.38,ZCTA5 21077,population,105,110,809.5238095238095
21078,7808,212588.47000000055,ZCTA5 21078,population,19820,684,393.9455095862765
21082,459,13343.93,ZCTA5 21082,population,694,258,661.3832853025937
21084,1638,29954.660000000033,ZCTA5 21084,population,7366,989,222.37306543578606
21085,2745,55980.65999999996,ZCTA5 21085,population,16590,1310,165.4611211573237
21087,656,20466.26,ZCTA5 21087,population,5597,525,117.20564588172235
21090,1933,50232.64000000003,ZCTA5 21090,population,10346,1099,186.83549197757588
21093,22218,633944.1899999967,ZCTA5 21093,population,38961,1886,570.2625702625702
21102,3317,51923.16000000006,ZCTA5 21102,population,12024,959,275.8649367930805
21104,4210,99374.20000000011,ZCTA5 21104,population,6077,966,692.77604080961
21105,28,267,ZCTA5 21105,population,40,63,700
21108,6603,220072.7800000001,ZCTA5 21108,population,18046,1493,365.89826000221655
21111,3969,93046.8800000003,ZCTA5 21111,population,4838,659,820.3803224472923
21113,16279,444059.96000000014,ZCTA5 21113,population,36495,2114,446.06110426085763
21114,8848,236144.47000000044,ZCTA5 21114,population,25126,1537,352.1451882512139
21117,23052,657696.399999998,ZCTA5 21117,population,58516,2594,393.94353681044504
21120,2596,77234.65999999997,ZCTA5 21120,population,7319,822,354.6932641071184
21122,9609,221055.7499999993,ZCTA5 21122,population,61444,2461,156.3863029750667
21128,1908,49255.929999999986,ZCTA5 21128,population,15934,1436,119.74394376804318
21130,7,225,ZCTA5 21130,population,21,24,333.3333333333333
21131,2873,130327.89000000012,ZCTA5 21131,population,7722,710,372.05387205387206
21132,185,6295.84,ZCTA5 21132,population,3110,547,59.4855305466238
21133,8682,146954.52000000025,ZCTA5 21133,population,32070,1892,270.7202993451824
21136,11483,323548.850000002,ZCTA5 21136,population,35038,1566,327.7298932587476
21140,1294,55152.62999999996,ZCTA5 21140,population,4255,790,304.11280846063454
21144,11718,222529.8500000001,ZCTA5 21144,population,37041,2081,316.3521503199158
21146,13148,487095.9399999995,ZCTA5 21146,population,29710,1689,442.5445977785257
21152,1796,80268.00000000007,ZCTA5 21152,population,6517,978,275.58692649992327
21153,1329,41921.91000000001,ZCTA5 21153,population,676,204,1965.976331360947
21154,568,14000.14,ZCTA5 21154,population,7059,963,80.4646550502904
21155,578,15340.34,ZCTA5 21155,population,3063,660,188.70388507998695
21156,40,1304.9999999999998,ZCTA5 21156,population,362,247,110.49723756906077
21157,8691,202460.4400000002,ZCTA5 21157,population,39816,1944,218.2790837854129
21158,4343,99560.21000000004,ZCTA5 21158,population,23011,1135,188.7358219981748
21160,285,5854.12,ZCTA5 21160,population,2716,756,104.93372606774669
